"month","number_of_transactions"
"2018-01-01T00:00:00.000","26127"
"2018-02-01T00:00:00.000","26643"
"2018-03-01T00:00:00.000","30866"
"2018-04-01T00:00:00.000","32188"
"2018-05-01T00:00:00.000","35052"
"2018-06-01T00:00:00.000","34427"
"2018-07-01T00:00:00.000","32571"
"2018-08-01T00:00:00.000","35041"
"2018-09-01T00:00:00.000","32961"
"2018-10-01T00:00:00.000","39962"
"2018-11-01T00:00:00.000","39381"
"2018-12-01T00:00:00.000","40851"
"2019-01-01T00:00:00.000","42599"
"2019-02-01T00:00:00.000","53448"
"2019-03-01T00:00:00.000","72969"
"2019-04-01T00:00:00.000","77401"
"2019-05-01T00:00:00.000","86177"
"2019-06-01T00:00:00.000","84738"
"2019-07-01T00:00:00.000","85675"
"2019-08-01T00:00:00.000","89363"
"2019-09-01T00:00:00.000","86105"
"2019-10-01T00:00:00.000","101809"
"2019-11-01T00:00:00.000","101060"
"2019-12-01T00:00:00.000","105815"
