"the_geom","objectid","created_date","last_edited_date","globalid","name","greenwaysasset"
"POINT (-87.696408274915 42.022159748593)","72",,,"{124E0B86-179E-42F0-9E44-0AF7DE31A8A1}",,
"POINT (-87.697602043204 42.040713153842)","59",,,"{CA8040ED-9B62-4D8E-BAC3-739EB216B1A6}",,
"POINT (-87.706122432566 42.048738843357)","48",,,"{FA8600FB-0078-4F12-990C-831D40605CF7}",,
"POINT (-87.700828149555 42.035507609295)","56",,,"{BF3B7AD5-A734-4DBA-9175-6AE9AFA88E4F}",,
"POINT (-87.70755785793 42.050989020566)","98",,,"{B485D8EC-97FC-4FE7-96B3-DAE6FEE984A1}",,
"POINT (-87.704243516636 42.022367746984)","69",,,"{94FC30FD-B2D8-49C6-96DD-52CE09FF6A78}",,
"POINT (-87.730919601163 42.06646592088)","116",,,"{334DD9C1-39DF-4A14-8BC0-EE6273A7BBF9}",,
"POINT (-87.703890994101 42.027433572689)","104",,,"{98EED979-637A-46DF-A196-BD2E732E9089}",,
"POINT (-87.694789930713 42.025862314323)","76",,,"{3BFE7FD6-106E-4487-949D-A19E47993F69}",,
"POINT (-87.692844653942 42.054432817984)","103",,,"{D6282492-1183-494F-9941-3B3073505C10}",,
"POINT (-87.72619732071 42.061493860565)","23",,,"{184188F2-4B47-42A7-935B-0B61BE2DDAF1}",,
"POINT (-87.679212331787 42.021687608861)","82",,,"{31EE5D5C-D16A-49B2-9D64-3C147D070E9D}",,
"POINT (-87.670599329261 42.033985182885)","17",,,"{5A1A070F-07C5-4E40-8383-903D2461875C}",,
"POINT (-87.694697564961 42.067662730915)","28",,,"{08EA1263-38BB-47B2-85AF-7BFB24DE5EC1}",,
"POINT (-87.691661514814 42.025834631969)","8",,,"{EC31A9F8-820D-4F5D-B4EE-DAB5207C2F8E}",,
"POINT (-87.703541022746 42.053982448487)","44",,,"{603B653F-E3FE-4006-A550-7648E43F030A}",,
"POINT (-87.693225169846 42.02581183222)","9",,,"{E9953E1E-381E-4165-BF4A-B9BD50A59231}",,
"POINT (-87.67697545529 42.067076395488)","1",,,"{2D583FFA-10AD-4EE8-9A90-218EF0C88335}",,
"POINT (-87.705407655594 42.031037520636)","105",,,"{C3ECB3DB-248B-4E8E-BB22-BF6AFCB2A0F8}",,
"POINT (-87.680116071854 42.071103939489)","124",,,"{1DE4FADE-A414-4157-8B61-216BADC22A58}",,
"POINT (-87.703066894388 42.022371802403)","70",,,"{126DE797-DAD0-4A2E-B552-3192BCB32F1F}",,
"POINT (-87.701892514402 42.022420752886)","71",,,"{FED0DE44-9367-4865-9760-B0C50C79DE5C}",,
"POINT (-87.691027300477 42.04566970272)","50",,,"{48AE7A39-13D4-4432-97B4-252883002F48}",,
"POINT (-87.674945913906 42.026838818063)","65",,,"{8A4895A4-CEC5-4649-A622-9A93F526E290}",,
"POINT (-87.683027012763 42.065321682144)","91",,,"{2E6ED1BA-07AE-4E41-8A01-5D042CFAC3E6}",,
"POINT (-87.694759413373 42.065372058951)","30",,,"{1B77A55E-C953-49E8-972D-E663CEC4224E}",,
"POINT (-87.70316365201 42.035619301065)","55",,"2020-02-12T22:27:48.000Z","{55D28101-B593-40EB-8996-F2E68C7BDA9E}",,
"POINT (-87.728339533318 42.068230345276)","20",,,"{845D5D50-4292-4FD9-BBCF-19024A8BBCBE}",,
"POINT (-87.694731972115 42.060268096345)","86",,,"{42FEED10-86EE-4004-9F95-3F43FF0C7F20}",,
"POINT (-87.730231043542 42.06696975473)","118",,,"{81895765-2619-4118-8D96-BB897335F25F}",,
"POINT (-87.685479048546 42.0671882416)","90",,,"{C8FBBDB4-6CE3-412B-A67B-67C208622E0C}",,
"POINT (-87.700421203099 42.057622242121)","27",,,"{0ADCFAC4-EBF6-44A8-8036-C99E20E32103}",,
"POINT (-87.725666401846 42.055515879244)","16",,,"{F8AB4118-527B-4798-BB38-7DE3968720E8}",,
"POINT (-87.689369045659 42.020515044258)","78",,,"{28B48778-5F6E-4F94-A5AC-7D49916A2666}",,
"POINT (-87.706251717845 42.034656022519)","101",,,"{24803B63-8317-489A-92E1-127E311C241D}",,
"POINT (-87.678370277804 42.024766001588)","83",,,"{160F45FD-8EE3-4356-9701-C1C4D84D649D}",,
"POINT (-87.728297556984 42.067279190099)","21",,,"{B83CB3B4-C529-451A-96A2-FC77DAB5C7F5}",,
"POINT (-87.678860747116 42.069341926782)","1281",,,"{560E52B4-D82F-4134-8266-8E2B6FC40719}",,
"POINT (-87.671651391512 42.042549718991)","49",,,"{3D32025F-87CF-47D3-979A-339E05739166}",,
"POINT (-87.694598606943 42.035551017852)","60",,,"{32F28175-0CA7-4E64-9C0D-22012004F72C}",,
"POINT (-87.711026488397 42.053523513104)","14",,,"{74FA49F1-6FA3-4861-AE66-6A9DEAE0D047}",,
"POINT (-87.720262730713 42.055557144869)","25",,,"{396358E9-C37B-4817-8F4D-605CAD605F95}",,
"POINT (-87.728141075295 42.066402538671)","22",,,"{48415C8F-D4A3-4DCE-9F29-D3A183162AB8}",,
"POINT (-87.676580667502 42.026776917255)","64",,,"{A781FB3A-4763-4E38-8F8D-06A510668DBD}",,
"POINT (-87.682899072835 42.059325186085)","93",,,"{AA127E94-88F2-402F-BB2D-6AA2251DC67C}",,
"POINT (-87.694930250809 42.061332671944)","121",,,"{2CACE520-254F-4F37-B491-238854CAE45D}",,
"POINT (-87.703988036679 42.033617750245)","111",,,"{8A5261DF-727F-45FE-8C6A-CAAA81256DA7}",,
"POINT (-87.723436278614 42.057425514384)","123",,,"{D1274E5D-73D5-494B-8388-30F723B6612C}",,
"POINT (-87.701972664476 42.054696946448)","43",,,"{63C9B1BF-D6CE-4EF3-9B4E-399FE0039134}",,
"POINT (-87.694877588041 42.042053184829)","100",,,"{9E58BBD5-1FFF-4393-B19F-86F4D93C31A1}",,
"POINT (-87.682800004771 42.021709068527)","79",,,"{08B91AB8-5C14-42D8-A70D-2F65D98F3555}",,
"POINT (-87.669376470581 42.03210156726)","113",,,"{442ADE4E-9A24-46BA-9F7E-A9A6192F5E70}",,
"POINT (-87.697197814862 42.056951693991)","87",,,"{CDAAEFF2-7D10-43F0-8790-3324BB849737}",,
"POINT (-87.690784061397 42.061592511177)","34",,,"{50BAD4B1-C9FA-4BE0-BC3A-7232A1B1C371}",,
"POINT (-87.691348764045 42.022379663133)","75",,,"{73D090D2-367A-4DD8-BCB3-A30EBE760D27}",,
"POINT (-87.704583060238 42.0319629804)","63",,,"{EBEC2704-774A-4AB3-8B1E-1BE72EB13ED0}",,
"POINT (-87.689228932137 42.050350367181)","47",,,"{8CF9333C-6F0D-4D8C-89DA-86F35293A2DE}",,
"POINT (-87.695705431874 42.057706042792)","40",,,"{8FAF2A2A-35EE-456F-977B-9C3E66EE178C}",,
"POINT (-87.703874419169 42.028341420503)","109",,,"{37DF1EAA-5FD9-4037-B206-B3BCC896B44D}",,
"POINT (-87.690484823299 42.065330247812)","31",,,"{5394037D-B6A0-4B94-889B-B5D32B33E6EA}",,
"POINT (-87.731924197944 42.06803470278)","2",,,"{F03844B3-226A-47B2-997C-54BC96472ABB}",,
"POINT (-87.691420896924 42.054870790353)","102",,,"{93105700-BBE3-45B1-B39F-291EB4695825}",,
"POINT (-87.680874616998 42.035681501839)","62",,,"{A06D19C8-7005-487E-8FB1-4F44B94A3805}",,
"POINT (-87.686816831823 42.040047598917)","114",,,"{3645A34A-AB64-42E0-AA39-82C74ABEFFD1}",,
"POINT (-87.685491215308 42.066915266527)","89",,,"{8A8D1538-CDA7-4162-A426-D8DDCEE1D60C}",,
"POINT (-87.692239712827 42.05718287973)","39",,,"{D0CFCB7E-88E0-49C6-A3AF-0DC5008BFCA1}",,
