"month","blow_out","shear_break","damage","total"
"January","1","1","0","2"
"February","0","1","0","1"
"March","0","1","0","1"
"April","0","1","0","1"
"May","1","0","0","1"
"June","1","0","0","1"
"July ","5","1","0","6"
"August","2","1","0","3"
"September","5","0","0","5"
"October",,,,
"November",,,,
"December",,,,
"Total","15","6","0","21"
