"rpmainid","stop_date","stop_time","day_of_the_week","age","race","sex","street_number","street_name","police_beat"
"81419","2021-12-13T00:00:00.000","1145","Mon","22","Asian","Female","500","SHERIDAN RD/SHERIDAN SQ",
"81423","2021-12-13T00:00:00.000","1040","Mon","49","Asian","Male","300","SOUTH BL/FOREST AV",
"81412","2021-12-13T00:00:00.000","844","Mon","29","Black","Male","1700","RIDGE AV/CHURCH ST","73"
"81425","2021-12-13T00:00:00.000","1310","Mon","49","Black","Female","600","RIDGE AV/REBA PL",
"81416","2021-12-13T00:00:00.000","706","Mon","27","White","Male","1900","GREEN BAY RD",
"81414","2021-12-13T00:00:00.000","956","Mon","80","White","Male","1100","RIDGE AV",
"81411","2021-12-13T00:00:00.000","801","Mon","31","White","Female","1700","MCCORMICK BLVD",
"81426","2021-12-13T00:00:00.000","1211","Mon","42","White","Male","1100","DAVIS ST","73"
"81420","2021-12-13T00:00:00.000","1230","Mon","57","Asian","Male",,"EAST PRAIRIE RD/EMERSON ST",
"81422","2021-12-13T00:00:00.000","1019","Mon","36","White","Male","500","SHERIDAN RD/SHERIDAN SQ",
"81417","2021-12-13T00:00:00.000","1228","Mon","23","White","Female","1700","EMERSON ST/DEWEY AV","77"
"81427","2021-12-13T00:00:00.000","1025","Mon","62","White","Male","1500","LAKE ST",
"81424","2021-12-13T00:00:00.000","1059","Mon","60","Black","Male","1200","RIDGE AV/CRAIN ST",
"81428","2021-12-13T00:00:00.000","1633","Mon","26","Black","Female","2400","CHURCH ST/FOWLER AV","77"
"81421","2021-12-13T00:00:00.000","956","Mon","30","White","Male","500","SHERIDAN RD/SHERIDAN SQ",
"81418","2021-12-13T00:00:00.000","1132","Mon","60","Black","Male",,"N SHERIDAN RD/W JONQUIL TER",
"81397","2021-12-13T00:00:00.000","727","Mon","43","Black","Male","2300","GREEN BAY RD",
"81398","2021-12-13T00:00:00.000","847","Mon","76","White","Male","1500","LAKE ST",
"81396","2021-12-13T00:00:00.000","654","Mon","45","White","Male","1800","RIDGE AV",
"81405","2021-12-13T00:00:00.000","833","Mon","32","Black","Male","1500","LAKE ST",
"81402","2021-12-12T00:00:00.000","1008","Sun","28","Black","Male","1500","LAKE ST",
"81404","2021-12-12T00:00:00.000","1046","Sun","26","White","Female","1800","EMERSON ST",
"81393","2021-12-12T00:00:00.000","958","Sun","71","White","Male","1400","WESLEY AV",
"81415","2021-12-12T00:00:00.000","941","Sun","26","White","Male","1000","OAKTON ST",
"81395","2021-12-12T00:00:00.000","1645","Sun","18","White","Male","1900","DEMPSTER ST/DODGE AV","74"
"81394","2021-12-12T00:00:00.000","1028","Sun","68","Black","Male","1500","LAKE ST",
"81390","2021-12-11T00:00:00.000","1449","Sat","51","Black","Female","1200","DAVIS ST/RIDGE AV","73"
"81413","2021-12-11T00:00:00.000","1627","Sat","54","White","Male","500","SHERIDAN RD",
"81409","2021-12-11T00:00:00.000","1545","Sat","49","White","Male","500","SHERIDAN RD",
"81408","2021-12-11T00:00:00.000","1408","Sat","35","Black","Female","400","RIDGE AV/HULL TER","78"
"81410","2021-12-11T00:00:00.000","1557","Sat","27","White","Male","500","SHERIDAN RD",
"81389","2021-12-11T00:00:00.000","1331","Sat","48","Black","Male","1200","DAVIS ST/RIDGE AV","73"
"81391","2021-12-11T00:00:00.000","1502","Sat","25","White","Male","1600","ASBURY AV/DAVIS ST","74"
"81392","2021-12-11T00:00:00.000","1517","Sat","65","White","Male","500","SHERIDAN RD",
"81406","2021-12-11T00:00:00.000","912","Sat","40","White","Female","1200","CHICAGO AV",
"81407","2021-12-11T00:00:00.000","1058","Sat","44","Asian","Male","1100","CHICAGO AV/GREENLEAF ST","73"
"81401","2021-12-11T00:00:00.000","1530","Sat","37","Black","Female","500","SHERIDAN RD",
"81399","2021-12-11T00:00:00.000","1356","Sat","43","White","Female",,"RIDGE AV/DEMPSTER ST","73"
"81400","2021-12-11T00:00:00.000","1033","Sat","17","Black","Male","1500","LAKE ST",
"81403","2021-12-10T00:00:00.000","1956","Fri","44","Asian","Female","1000","AUSTIN ST/RIDGE AV","78"
"81375","2021-12-10T00:00:00.000","1046","Fri","22","White","Female","1900","GREEN BAY RD",
"81374","2021-12-10T00:00:00.000","832","Fri","50","White","Female","2400","PRAIRIE AV",
"81376","2021-12-10T00:00:00.000","1119","Fri","90","White","Male","1100","GROVE ST",
"81371","2021-12-10T00:00:00.000","743","Fri","37","Hispanic","Female","1300","WESLEY AV",
"81372","2021-12-10T00:00:00.000","801","Fri","42","Black","Female","1500","LAKE ST",
"81373","2021-12-10T00:00:00.000","832","Fri","37","Black","Male","1800","COLFAX ST/PRAIRIE AV","75"
"81370","2021-12-10T00:00:00.000","717","Fri","30","Asian","Male","1500","ASHLAND AV",
"81386","2021-12-10T00:00:00.000","1050","Fri","42","White","Female","1100","EMERSON ST",
"81388","2021-12-10T00:00:00.000","1834","Fri","33","Black","Male","3300","GOLF RD",
"81387","2021-12-10T00:00:00.000","1120","Fri","42","White","Female","1100","GROVE ST",
"81385","2021-12-10T00:00:00.000","728","Fri","80","White","Female","1500","LAKE ST",
"81366","2021-12-09T00:00:00.000","1300","Thu","35","Black","Male","1200","DAVIS ST/RIDGE AV","73"
"81378","2021-12-09T00:00:00.000","930","Thu","56","White","Male","200","SOUTH BL/MICHIGAN AV","72"
"81379","2021-12-09T00:00:00.000","947","Thu","38","Black","Female","800","SHERIDAN RD/KEDZIE ST","72"
"81367","2021-12-09T00:00:00.000","1039","Thu","46","White","Male","2100","GREEN BAY RD/SIMPSON ST","76"
"81381","2021-12-09T00:00:00.000","1028","Thu","29","White","Male","500","SHERIDAN SQ/SHERIDAN RD","72"
"81360","2021-12-09T00:00:00.000","823","Thu","62","White","Female","1500","LAKE ST/ASHLAND AV","74"
"81368","2021-12-09T00:00:00.000","1222","Thu","17","White","Female","1500","LAKE ST/ASHLAND AV","74"
"81377","2021-12-09T00:00:00.000","1329","Thu","35","Hispanic","Male","1200","DODGE AV","74"
"81364","2021-12-09T00:00:00.000","959","Thu","47","Asian","Male","300","SOUTH BL/FOREST AV","72"
"81382","2021-12-09T00:00:00.000","1038","Thu","21","Black","Male","500","SHERIDAN RD/SHERIDAN SQ","72"
"81365","2021-12-09T00:00:00.000","1208","Thu","46","White","Male","2100","MCCORMICK BL/BRIDGE ST","75"
"81369","2021-12-09T00:00:00.000","1245","Thu","47","White","Female",,"RIDGE AV/GRANT ST","76"
"81383","2021-12-09T00:00:00.000","2320","Thu","17","White","Female","1500","LAKE ST/ASHLAND AV","74"
"81380","2021-12-09T00:00:00.000","1017","Thu","30","Asian","Male",,"W JONQUIL TER/N SHERIDAN RD",
"81342","2021-12-08T00:00:00.000","1100","Wed","36","Hispanic","Male","100","RIDGE AV",
"81362","2021-12-08T00:00:00.000","2045","Wed","22","White","Male","2000","DODGE AV","77"
"81349","2021-12-08T00:00:00.000","1244","Wed","37","White","Male","700","RIDGE AV/MADISON ST","72"
"81358","2021-12-08T00:00:00.000","1118","Wed","36","White","Male","500","SHERIDAN RD/SHERIDAN SQ","72"
"81354","2021-12-08T00:00:00.000","1305","Wed","83","White","Female","600","CHURCH ST/CHICAGO AV","76"
"81339","2021-12-08T00:00:00.000","1206","Wed","31","White","Female","600","SHERIDAN SQ",
"81363","2021-12-08T00:00:00.000","1724","Wed","17","White","Female","2000","DODGE AV/FOSTER ST","77"
"81337","2021-12-08T00:00:00.000","1049","Wed","36","White","Female","400","RIDGE AV",
"81340","2021-12-08T00:00:00.000","1256","Wed","55","White","Female","7700","N SHERIDAN RD",
"81344","2021-12-08T00:00:00.000","1224","Wed","45","White","Male","7700","N SHERIDAN RD",
"81353","2021-12-08T00:00:00.000","1005","Wed","33","White","Male",,"RIDGE AV/DEMPSTER ST","73"
"81348","2021-12-08T00:00:00.000","1228","Wed","72","White","Female","1400","CHICAGO AV/GREENWOOD ST","73"
"81341","2021-12-08T00:00:00.000","1037","Wed","47","Hispanic","Male","900","RIDGE AV",
"81357","2021-12-08T00:00:00.000","955","Wed","49","White","Male","900","RIDGE AV","74"
"81361","2021-12-08T00:00:00.000","1715","Wed","23","White","Male","1800","RIDGE AV","76"
"81350","2021-12-08T00:00:00.000","1036","Wed","40","Black","Female","1300","OAK AV/DEMPSTER ST","73"
"81336","2021-12-08T00:00:00.000","1014","Wed","37","White","Female","900","SEWARD ST",
