"day_of_the_week","race","sex","date"
"Wed","White","Female","2020-12-30T21:28:00.000"
"Wed","Unknown","Female","2020-12-30T19:40:23.000"
"Wed","White","Male","2020-12-30T17:58:17.000"
"Wed","White","Female","2020-12-30T17:32:24.000"
"Wed","White","Female","2020-12-30T16:43:50.000"
"Wed","White","Female","2020-12-30T16:43:23.000"
"Wed","White","Male","2020-12-30T16:34:21.000"
"Wed","Unknown","Female","2020-12-30T16:21:42.000"
"Wed","Black","Male","2020-12-30T16:06:55.000"
"Wed","White","Male","2020-12-30T16:02:47.000"
"Wed","White","Female","2020-12-30T15:48:07.000"
"Wed","White","Male","2020-12-30T14:37:35.000"
"Wed","Black","Female","2020-12-30T13:42:58.000"
"Wed",,,"2020-12-30T13:24:13.000"
"Wed","White","Female","2020-12-30T13:22:30.000"
"Wed","White","Female","2020-12-30T12:32:27.000"
"Wed","White","Female","2020-12-30T12:21:31.000"
"Wed","White","Female","2020-12-30T10:59:35.000"
"Wed","White","Male","2020-12-30T10:29:48.000"
"Wed","White","Female","2020-12-30T09:32:37.000"
"Wed","Black","Female","2020-12-30T08:56:42.000"
"Wed","Asian","Female","2020-12-30T08:32:05.000"
"Wed",,,"2020-12-30T04:47:36.000"
"Tue",,,"2020-12-29T23:59:00.000"
"Tue","Black","Female","2020-12-29T23:13:06.000"
"Tue","White","Female","2020-12-29T19:40:00.000"
"Tue","Black","Male","2020-12-29T17:58:29.000"
"Tue","Unknown","Female","2020-12-29T17:03:27.000"
"Tue","Unknown","Female","2020-12-29T16:44:00.000"
"Tue","White","Male","2020-12-29T16:41:57.000"
"Tue","Black","Female","2020-12-29T16:31:33.000"
"Tue",,,"2020-12-29T16:30:45.000"
"Tue",,,"2020-12-29T16:25:31.000"
"Tue","Unknown","Female","2020-12-29T15:48:41.000"
"Tue",,,"2020-12-29T14:47:46.000"
"Tue","Asian","Female","2020-12-29T14:47:46.000"
"Tue","Unknown","Female","2020-12-29T14:46:29.000"
"Tue","Black","Male","2020-12-29T14:18:20.000"
"Tue","Black","Female","2020-12-29T14:07:28.000"
"Tue","White","Male","2020-12-29T14:06:58.000"
"Tue","White","Male","2020-12-29T13:13:07.000"
"Tue","White","Male","2020-12-29T13:04:15.000"
"Tue","Black","Female","2020-12-29T12:58:11.000"
"Tue","Black","Female","2020-12-29T12:17:49.000"
"Tue","White","Female","2020-12-29T12:16:17.000"
"Tue","White","Female","2020-12-29T12:00:27.000"
"Tue",,,"2020-12-29T11:54:12.000"
"Tue","White","Male","2020-12-29T11:47:45.000"
"Tue","White","Male","2020-12-29T11:29:16.000"
"Tue","White","Male","2020-12-29T11:23:10.000"
"Tue",,,"2020-12-29T11:04:37.000"
"Tue","Unknown","Female","2020-12-29T10:57:47.000"
"Tue","White","Male","2020-12-29T10:57:03.000"
"Tue","Unknown","Male","2020-12-29T10:43:23.000"
"Tue","White","Female","2020-12-29T10:19:56.000"
"Tue","White","Male","2020-12-29T10:19:56.000"
"Tue","White","Male","2020-12-29T10:09:05.000"
"Tue","Black","Female","2020-12-29T10:03:35.000"
"Tue","Unknown","Female","2020-12-29T09:48:09.000"
"Tue",,,"2020-12-29T09:43:37.000"
"Tue","Unknown","Female","2020-12-29T09:23:24.000"
"Tue","White","Male","2020-12-29T09:18:10.000"
"Tue",,,"2020-12-29T07:36:31.000"
"Tue","Black","Female","2020-12-29T05:48:08.000"
"Tue","White","Female","2020-12-29T04:27:07.000"
"Mon","Black","Female","2020-12-28T22:34:00.000"
"Mon","White","Male","2020-12-28T19:16:41.000"
"Mon","Black","Male","2020-12-28T19:13:51.000"
"Mon","White","Female","2020-12-28T19:10:39.000"
"Mon",,,"2020-12-28T18:43:41.000"
"Mon","White","Female","2020-12-28T17:53:17.000"
