"title","path","type","updated_date","post_date","published","pageviews","unique_pageviews","avg_time_on_page","entrances","bounce_rate","exit"
"City Home Page","/","Page","2018-07-01T00:00:00.000","2009-05-01T00:00:00.000","true","58552","48327","44.37","43062","45.21","41.09"
"Public Auction of 1301 East Washington Street","/1301washington","Post","2018-11-09T00:00:00.000","2018-10-16T00:00:00.000","true","24","24","86.67","23","91.3","87.5"
"Library Celebrates 145th Anniversary","/145","Post","2019-07-05T00:00:00.000","2019-07-05T00:00:00.000","true",,,,,,
"2018 Full Depth Concrete Patching - Part 1","/18FDPatchingP1","Project","2018-08-15T00:00:00.000","2018-07-25T00:00:00.000","true","4","4","27.67","0","0","25"
"CLOSED: Invitation to Bid: Network Connection Installation (#1920-05)","/1920-05","Post","2019-10-07T00:00:00.000","2019-09-18T00:00:00.000","true",,,,,,
"CLOSED - Invitation to Bid: Facilities and Street Can Waste Collection","/1920-06","Post","2019-10-03T00:00:00.000","2019-09-11T00:00:00.000","true","3","3","22.00","2","0","0"
"CLOSED - Invitation to Bid: Street Can Waste Collection Services (1920","/1920-10","Post","2019-10-09T00:00:00.000","2019-10-03T00:00:00.000","true",,,,,,
"CLOSED - Invitation to Bid 1920-15: Tree and Stump Removal","/1920-15","Post","2019-12-10T00:00:00.000","2019-11-20T00:00:00.000","true",,,,,,
"CLOSED - Invitation to Bid: Snow Removal Abatement (1920-16)","/1920-16","Post","2019-12-10T00:00:00.000","2019-11-20T00:00:00.000","true",,,,,,
"CLOSED - Request for Quote (1920-23): Equipment and Lighting to Outfit","/1920-23","Post","2020-02-18T00:00:00.000","2020-01-29T00:00:00.000","true","2","2","44.50","0","0","0"
"Invitation to Bid: 2021 Pavement Marking Project (City Section 20-0062","/20-00629-00-STFOR_BID","Page","2021-09-10T00:00:00.000","2021-09-10T00:00:00.000","true","12","10","452.83","4","75","50"
"CLOSED - RFQ for Commercial Real Estate Marketing of the 200 Block of","/200block","Post","2015-03-26T00:00:00.000","2014-03-19T00:00:00.000","true","5","2","13.25","1","100","20"
"Updated Design Announced for Townhome Project at 200 South Vine Street","/200vineredesign","Post","2019-01-08T00:00:00.000","2019-01-08T00:00:00.000","true","93","85","458.92","82","90.24","87.1"
"New Development For Downtown Urbana","/200vinestreet","Post","2018-10-30T00:00:00.000","2018-10-16T00:00:00.000","true","22","18","185.83","14","78.57","72.73"
"Urbana Public Arts Program Invites the Public to the 2013 Urbana Arts","/2013urbanaartgrantevent","Post","2013-04-03T00:00:00.000","2013-03-13T00:00:00.000","true",,,,,,
"2016 Full Depth Concrete Patching - Part 2","/2016-Full-Depth-Concrete-Patching","Project","2019-05-28T00:00:00.000","2016-07-05T00:00:00.000","false",,,,,,
"RESCHEDULED: Urbana Boneyard Creek Cleanup","/2017-UrbanaBoneyardCleanup","Post","2017-06-16T00:00:00.000","2017-06-06T00:00:00.000","true",,,,,,
"2018 Oil & Chip Street Maintenance Project","/2018OilChip","Project","2018-08-15T00:00:00.000","2018-07-25T00:00:00.000","true","8","7","81.60","3","66.67","37.5"
"2018 Pavement Marking Project","/2018PavtMarking","Project","2021-01-11T00:00:00.000","2018-07-25T00:00:00.000","true","10","8","49.70","1","0","0"
"Drop-In Grants Brainstorm","/2019artgrants","Post","2019-02-05T00:00:00.000","2019-01-29T00:00:00.000","true",,,,,,
"Great Pay with the 2020 Census","/2020censustaker","Post","2019-08-30T00:00:00.000","2019-08-30T00:00:00.000","true",,,,,,
"2021 Pavement Marking Project","/2021PavementMarking","Project","2021-12-09T00:00:00.000","2021-08-24T00:00:00.000","true","97","82","49.21","19","31.58","24.74"
"2021 Surface Seal Maintenance Project","/2021SurfaceSeal","Project","2021-10-26T00:00:00.000","2021-07-27T00:00:00.000","true","66","54","49.82","1","100","22.73"
"Windsor Road Patching Project","/2021WindsorRoadPatching","Project","2021-12-09T00:00:00.000","2021-10-25T00:00:00.000","true","42","38","46.00","11","54.55","28.57"
"Solar Urbana-Champaign Reaches 50 Kilowatt Benchmark","/50kwbenchmark","Post","2019-07-30T00:00:00.000","2019-07-30T00:00:00.000","true","5","4","152.50","3","66.67","60"
"African American History is Our History","/aahistory","Post","2022-03-01T00:00:00.000","2022-01-31T00:00:00.000","true","85","63","95.38","31","67.74","43.53"
"Annual Comprehensive Financial Report","/acfr","Page","2021-12-23T00:00:00.000","2009-10-26T00:00:00.000","true","106","87","189.82","26","65.38","52.83"
"Additional Information - 2018 Full Depth Concrete Patching Project","/AddInfo18FDPatching","Page","2018-07-25T00:00:00.000","2018-07-25T00:00:00.000","true",,,,,,
"Additional Information - MCORE Project 1","/AdditionalInformationMCOREProject1","Page","2017-02-21T00:00:00.000","2017-02-17T00:00:00.000","true","2","2","0.00","2","100","100"
"Census 2020 Address Verifying Has Begun","/addressverifying","Post","2019-08-13T00:00:00.000","2019-08-13T00:00:00.000","true",,,,,,
"Adopt Urbana Program","/AdoptUrbana","Page","2017-04-20T00:00:00.000","2010-05-17T00:00:00.000","true","101","87","122.94","59","83.05","65.35"
"After Hours","/afterhours","Post","2019-04-10T00:00:00.000","2019-04-04T00:00:00.000","true",,,,,,
"Airport Road West Reconstruction Project","/AirportRoad","Project","2021-01-11T00:00:00.000","2017-04-25T00:00:00.000","true","19","12","29.13","6","50","15.79"
"Colbrook to Represent Ward 6","/aldermancolbrook","Post","2020-03-09T00:00:00.000","2020-03-09T00:00:00.000","true","18","17","25.50","15","86.67","88.89"
"Read Across America Awarded","/altrusa","Post","2019-08-13T00:00:00.000","2019-08-13T00:00:00.000","true","3","3","0.00","3","100","100"
"Animal Control","/animal-control","Page","2017-04-06T00:00:00.000","2015-03-10T00:00:00.000","true","1960","1758","252.99","1691","86.81","84.54"
"11th Annual Housing Fair","/annualhousingfair11","Post","2011-02-10T00:00:00.000","2011-02-09T00:00:00.000","true","2","2","24.00","1","0","50"
"Restoring Urbana's Urban Canopy","/arborday2020","Post","2020-04-21T00:00:00.000","2020-04-19T00:00:00.000","true","23","23","91.30","17","47.06","56.52"
"American Rescue Plan Act (ARPA) Funding","/ARPA_Funding","Page","2022-06-01T00:00:00.000","2022-01-25T00:00:00.000","true","5","3","521.00","3","66.67","60"
"American Rescue Plan Act (ARPA) Funding","/ARPA_Funding","Page","2022-06-01T00:00:00.000","2022-01-25T00:00:00.000","true","348","258","213.27","169","76.92","55.17"
"City of Urbana COVID Recovery Funds (ARPA) - Public Survey","/ARPA_Survey","Post","2022-03-14T00:00:00.000","2022-03-14T00:00:00.000","true","177","143","103.67","94","74.47","58.76"
"Artist of the Corridor","/artexhibits","Page","2021-11-09T00:00:00.000","2010-05-17T00:00:00.000","true","91","80","59.56","32","62.5","39.56"
"Urbana Art Expo","/artexpo","Page","2020-02-25T00:00:00.000","2017-08-25T00:00:00.000","true","36","34","82.33","30","93.33","91.67"
"Deadline Extended","/artgrantsextension","Post","2019-02-26T00:00:00.000","2019-02-15T00:00:00.000","true",,,,,,
"Art in the Park","/artinthepark","Page","2020-08-18T00:00:00.000","2012-10-25T00:00:00.000","true","72","68","138.11","57","85.96","73.61"
"Art in the Park Walking Tour","/artintheparkpodcast","Page","2018-02-07T00:00:00.000","2012-10-25T00:00:00.000","true","6","6","273.50","1","100","33.33"
"Art in Transit","/artintransit","Page","2022-07-25T00:00:00.000","2022-07-19T00:00:00.000","true","51","35","373.20","23","78.26","60.78"
"Art at the Market Celebrates National Farmer's Market Week","/artmarket","Post","2019-07-30T00:00:00.000","2019-07-30T00:00:00.000","true",,,,,,
"Art Now!","/artnow","Page","2022-05-26T00:00:00.000","2010-11-16T00:00:00.000","true","133","122","94.78","46","78.26","45.11"
"Urbana Arts & Culture Program","/arts","Page","2022-06-16T00:00:00.000","2009-05-01T00:00:00.000","true","1935","1642","77.16","1129","55.18","47.39"
"Arts Grants","/artsgrants","Page","2022-03-09T00:00:00.000","2009-05-01T00:00:00.000","true","1876","1695","229.46","1380","87.25","80.01"
"Arts Grants","/artsgrants","Page","2022-03-09T00:00:00.000","2009-05-01T00:00:00.000","true","5","5","0.00","5","100","100"
"Arts Grants Applications Now Open","/artsgrantspost","Post","2019-11-01T00:00:00.000","2019-11-01T00:00:00.000","true",,,,,,
"Support Public Arts","/arts_support","Page","2022-04-21T00:00:00.000","2015-04-27T00:00:00.000","true","49","40","95.87","16","62.5","38.78"
"Art at the Market / Art in the Square","/artworkshops","Page","2021-07-27T00:00:00.000","2010-05-14T00:00:00.000","true","104","94","186.77","83","71.08","71.15"
"GROCERY SHOPPING HOURS FOR SENIORS & AT-RISK POPULATION","/atriskgrocery","Post","2020-04-09T00:00:00.000","2020-04-09T00:00:00.000","true","3","3","119.00","2","100","66.67"
"Automated License Plate Readers (ALPRs)","/automated-license-plate-reader-informational-page","Post","2021-12-08T00:00:00.000","2021-09-30T00:00:00.000","true","354","284","136.30","184","74.46","61.86"
