"date","week","month","year","railroad","region","loadings_plan","loadings_average"
"2017-04-05T00:00:00.000","14","4","2017","CSX","Northern Appalachia","3135","3129"
"2017-04-05T00:00:00.000","14","4","2017","CSX","Powder River Basin","0","0"
"2017-04-05T00:00:00.000","14","4","2017","CSX","Southern Appalachia","700","693"
"2017-04-05T00:00:00.000","14","4","2017","CSX","Uinta basin","0","0"
"2017-04-05T00:00:00.000","14","4","2017","NS","Central Appalachia","8.7","7.1"
"2017-04-05T00:00:00.000","14","4","2017","NS","Illinois Basin","3.4","4"
"2017-04-05T00:00:00.000","14","4","2017","NS","Northern Appalachia","6.7","6.1"
"2017-04-05T00:00:00.000","14","4","2017","NS","Southern Appalachia","0","0"
"2017-04-05T00:00:00.000","14","4","2017","UP","Other","0","1"
"2017-04-05T00:00:00.000","14","4","2017","UP","Powder River Basin","16.2","13.4"
"2017-04-05T00:00:00.000","14","4","2017","UP","Uinta Basin","4.5","4"
"2017-04-12T00:00:00.000","15","4","2017","BNSF","Central Appalachia","0","0"
"2017-04-12T00:00:00.000","15","4","2017","BNSF","Illinois Basin","0","0"
"2017-04-12T00:00:00.000","15","4","2017","BNSF","Northern Appalachia","0","0"
"2017-04-12T00:00:00.000","15","4","2017","BNSF","Other","3","3.4"
"2017-04-12T00:00:00.000","15","4","2017","BNSF","Powder River Basin","37","34"
"2017-04-12T00:00:00.000","15","4","2017","BNSF","Southern Appalachia","0","0"
"2017-04-12T00:00:00.000","15","4","2017","BNSF","Uinta basin","0","0"
"2017-04-12T00:00:00.000","15","4","2017","CN","Central Appalachia","0","0"
"2017-04-12T00:00:00.000","15","4","2017","CN","Illinois Basin","236","232"
"2017-04-12T00:00:00.000","15","4","2017","CN","Northern Appalachia","0","0"
"2017-04-12T00:00:00.000","15","4","2017","CN","Other","0","0"
"2017-04-12T00:00:00.000","15","4","2017","CN","Powder River Basin","0","0"
"2017-04-12T00:00:00.000","15","4","2017","CN","Southern Appalachia","0","0"
"2017-04-12T00:00:00.000","15","4","2017","CN","Uinta basin","0","0"
"2017-04-12T00:00:00.000","15","4","2017","CP","Central Appalachia","0","0"
"2017-04-12T00:00:00.000","15","4","2017","CP","Illinois Basin","0","0"
"2017-04-12T00:00:00.000","15","4","2017","CP","Northern Appalachia","0","0"
"2017-04-12T00:00:00.000","15","4","2017","CP","Other","0","0"
"2017-04-12T00:00:00.000","15","4","2017","CP","Powder River Basin","0","0"
"2017-04-12T00:00:00.000","15","4","2017","CP","Southern Appalachia","0","0"
"2017-04-12T00:00:00.000","15","4","2017","CP","Uinta basin","0","0"
"2017-04-12T00:00:00.000","15","4","2017","CSX","Central Appalachia","5842","5373"
"2017-04-12T00:00:00.000","15","4","2017","CSX","Illinois Basin","3829","3552"
"2017-04-12T00:00:00.000","15","4","2017","CSX","Northern Appalachia","2716","2578"
"2017-04-12T00:00:00.000","15","4","2017","CSX","Powder River Basin","0","0"
"2017-04-12T00:00:00.000","15","4","2017","CSX","Southern Appalachia","1200","1200"
"2017-04-12T00:00:00.000","15","4","2017","CSX","Uinta basin","0","0"
"2017-04-12T00:00:00.000","15","4","2017","NS","Central Appalachia","7.9","6.7"
"2017-04-12T00:00:00.000","15","4","2017","NS","Illinois Basin","2.7","2.6"
"2017-04-12T00:00:00.000","15","4","2017","NS","Northern Appalachia","5.4","5.7"
"2017-04-12T00:00:00.000","15","4","2017","NS","Southern Appalachia","0","0"
"2017-04-12T00:00:00.000","15","4","2017","UP","Other","0","1.1"
