"date","week","month","year","railroad","state","placed","filled","unfilledlte10days","unfilledgt10days","total","geocoded_column"
"2022-09-07T00:00:00.000","36","9","2022","UP","PA","0","0","0","0","0","POINT (-77.838886 40.896694)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","OH","0","0","0","0","0","POINT (-82.70936 40.415534)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","AR","0","0","0","0","0","POINT (-92.439162 34.899825)"
"2022-09-07T00:00:00.000","36","9","2022","NS","KY","0","0","0","0","0","POINT (-85.290484 37.526683)"
"2022-09-07T00:00:00.000","36","9","2022","CN","KS","0","0","0","0","0","POINT (-98.38018 38.484729)"
"2022-09-07T00:00:00.000","36","9","2022","CN","HI","0","0","0","0","0","POINT (-157.854309 21.361013)"
"2022-09-07T00:00:00.000","36","9","2022","UP","NM","0","0","0","0","0","POINT (-106.108388 34.421369)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","KY","0","0","0","0","0","POINT (-85.290484 37.526683)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","NM","0","0","0","0","0","POINT (-106.108388 34.421369)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","AZ","0","0","0","0","0","POINT (-111.664616 34.293239)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","OK","0","0","0","0","0","POINT (-97.508297 35.583449)"
"2022-09-07T00:00:00.000","36","9","2022","NS","MI","0","0","0","0","0","POINT (-85.730977 44.874798)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","MO","0","0","0","0","0","POINT (-92.477244 38.3675)"
"2022-09-07T00:00:00.000","36","9","2022","CN","AZ","0","0","0","0","0","POINT (-111.664616 34.293239)"
"2022-09-07T00:00:00.000","36","9","2022","CP","OH","0","0","0","0","0","POINT (-82.70936 40.415534)"
"2022-09-07T00:00:00.000","36","9","2022","CN","OH","0","0","0","0","0","POINT (-82.70936 40.415534)"
"2022-09-07T00:00:00.000","36","9","2022","CP","DE","0","0","0","0","0","POINT (-75.452394 38.994926)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","UT","0","4","0","0","0","POINT (-111.678222 39.323779)"
"2022-09-07T00:00:00.000","36","9","2022","CP","ND","225","965","25","0","25","POINT (-100.46931 47.446305)"
"2022-09-07T00:00:00.000","36","9","2022","CN","CO","0","0","0","0","0","POINT (-105.547832 38.998552)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","MS","0","0","0","0","0","POINT (-89.65344 32.713378)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","LA","0","0","0","0","0","POINT (-91.840238 30.921314)"
"2022-09-07T00:00:00.000","36","9","2022","CP","PA","0","0","0","0","0","POINT (-77.838886 40.896694)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","MA","0","0","0","0","0","POINT (-71.481104 42.151077)"
"2022-09-07T00:00:00.000","36","9","2022","CP","NH","0","0","0","0","0","POINT (-71.57139 43.680429)"
"2022-09-07T00:00:00.000","36","9","2022","UP","ID","1371","72","263","834","1097","POINT (-114.659366 44.389073)"
"2022-09-07T00:00:00.000","36","9","2022","UP","OK","185","111","35","0","35","POINT (-97.508297 35.583449)"
"2022-09-07T00:00:00.000","36","9","2022","CP","SC","0","0","0","0","0","POINT (-80.864614 33.878572)"
"2022-09-07T00:00:00.000","36","9","2022","NS","MA","0","0","0","0","0","POINT (-71.481104 42.151077)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","KS","2","149","2","0","2","POINT (-98.38018 38.484729)"
"2022-09-07T00:00:00.000","36","9","2022","CP","ID","0","0","0","0","0","POINT (-114.659366 44.389073)"
"2022-09-07T00:00:00.000","36","9","2022","UP","VA","0","0","0","0","0","POINT (-78.666382 37.510861)"
"2022-09-07T00:00:00.000","36","9","2022","NS","NM","0","0","0","0","0","POINT (-106.108388 34.421369)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","NH","0","0","0","0","0","POINT (-71.57139 43.680429)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","WA","5","68","0","25","25","POINT (-120.592492 47.411715)"
"2022-09-07T00:00:00.000","36","9","2022","CP","IN","0","0","0","0","0","POINT (-86.2818 39.919991)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","MI","0","0","0","0","0","POINT (-85.730977 44.874798)"
"2022-09-07T00:00:00.000","36","9","2022","UP","MN","1148","94","264","606","870","POINT (-94.198308 46.349153)"
"2022-09-07T00:00:00.000","36","9","2022","CN","WI","10","10","0","0","0","POINT (-89.732969 44.639954)"
"2022-09-07T00:00:00.000","36","9","2022","NS","WV","0","0","0","0","0","POINT (-80.613729 38.642579)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","WV","0","0","0","0","0","POINT (-80.613729 38.642579)"
"2022-09-07T00:00:00.000","36","9","2022","UP","AL","0","0","0","0","0","POINT (-86.844516 32.756889)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","OR","12","1","0","0","0","POINT (-120.605279 43.940449)"
"2022-09-07T00:00:00.000","36","9","2022","NS","RI","0","0","0","0","0","POINT (-71.534637 41.572574)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","VA","0","0","0","0","0","POINT (-78.666382 37.510861)"
"2022-09-07T00:00:00.000","36","9","2022","NS","AZ","0","0","0","0","0","POINT (-111.664616 34.293239)"
"2022-09-07T00:00:00.000","36","9","2022","UP","KS","1635","121","357","870","1227","POINT (-98.38018 38.484729)"
"2022-09-07T00:00:00.000","36","9","2022","CN","NH","0","0","0","0","0","POINT (-71.57139 43.680429)"
"2022-09-07T00:00:00.000","36","9","2022","NS","NH","0","0","0","0","0","POINT (-71.57139 43.680429)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","TN","0","0","0","0","0","POINT (-86.343226 35.842998)"
"2022-09-07T00:00:00.000","36","9","2022","CN","ME","0","0","0","0","0","POINT (-69.06137 45.117911)"
"2022-09-07T00:00:00.000","36","9","2022","NS","OH","0","0","0","0","0","POINT (-82.70936 40.415534)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","ND","0","0","0","0","0","POINT (-100.46931 47.446305)"
"2022-09-07T00:00:00.000","36","9","2022","NS","KS","0","0","0","0","0","POINT (-98.38018 38.484729)"
"2022-09-07T00:00:00.000","36","9","2022","UP","MT","157","0","50","67","117","POINT (-109.645127 47.033521)"
"2022-09-07T00:00:00.000","36","9","2022","UP","WI","42","19","5","32","37","POINT (-89.732969 44.639954)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","ID","0","0","0","0","0","POINT (-114.659366 44.389073)"
"2022-09-07T00:00:00.000","36","9","2022","CP","KY","0","0","0","0","0","POINT (-85.290484 37.526683)"
"2022-09-07T00:00:00.000","36","9","2022","UP","MD","0","0","0","0","0","POINT (-76.687282 38.946466)"
"2022-09-07T00:00:00.000","36","9","2022","NS","TX","0","0","0","0","0","POINT (-99.317341 31.447238)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","IN","48","41","7","49","56","POINT (-86.2818 39.919991)"
"2022-09-07T00:00:00.000","36","9","2022","CP","MA","0","0","0","0","0","POINT (-71.481104 42.151077)"
"2022-09-07T00:00:00.000","36","9","2022","UP","ND","0","0","0","0","0","POINT (-100.46931 47.446305)"
"2022-09-07T00:00:00.000","36","9","2022","CN","AK","0","0","0","0","0","POINT (-151.631889 63.631126)"
"2022-09-07T00:00:00.000","36","9","2022","CN","CT","0","0","0","0","0","POINT (-72.738288 41.575155)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","NC","0","0","0","0","0","POINT (-79.130883 35.52603)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","IN","0","0","0","0","0","POINT (-86.2818 39.919991)"
"2022-09-07T00:00:00.000","36","9","2022","UP","OH","0","0","0","0","0","POINT (-82.70936 40.415534)"
"2022-09-07T00:00:00.000","36","9","2022","CP","NY","0","0","0","0","0","POINT (-75.59655 42.921241)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","SC","0","0","0","0","0","POINT (-80.864614 33.878572)"
"2022-09-07T00:00:00.000","36","9","2022","BNSF","ID","0","0","0","0","0","POINT (-114.659366 44.389073)"
"2022-09-07T00:00:00.000","36","9","2022","UP","AR","0","0","0","0","0","POINT (-92.439162 34.899825)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","MT","0","0","0","0","0","POINT (-109.645127 47.033521)"
"2022-09-07T00:00:00.000","36","9","2022","CSX","MN","0","0","0","0","0","POINT (-94.198308 46.349153)"
"2022-09-07T00:00:00.000","36","9","2022","CN","FL","0","0","0","0","0","POINT (-82.420978 28.260731)"
