"date","week","month","year","railroad","commodity","mph"
"2022-08-17T00:00:00.000","33","8","2022","BNSF","Coal","24.7"
"2022-08-17T00:00:00.000","33","8","2022","CSX","Grain","21.3"
"2022-08-17T00:00:00.000","33","8","2022","UP","Automotive","26.4"
"2022-08-17T00:00:00.000","33","8","2022","NS","System","19"
"2022-08-17T00:00:00.000","33","8","2022","CSX","Automotive",
"2022-08-17T00:00:00.000","33","8","2022","CN","Coal","22.8"
"2022-08-17T00:00:00.000","33","8","2022","CSX","Crude Oil",
"2022-08-17T00:00:00.000","33","8","2022","CP","System","26.1"
"2022-08-17T00:00:00.000","33","8","2022","CP","Intermodal","31.6"
"2022-08-17T00:00:00.000","33","8","2022","CN","Manifest","23"
"2022-08-17T00:00:00.000","33","8","2022","CSX","Coal","21"
"2022-08-17T00:00:00.000","33","8","2022","NS","Automotive","19.2"
"2022-08-17T00:00:00.000","33","8","2022","UP","Crude Oil","23.7"
"2022-08-17T00:00:00.000","33","8","2022","BNSF","Manifest","22.3"
"2022-08-17T00:00:00.000","33","8","2022","BNSF","Automotive","24.8"
"2022-08-17T00:00:00.000","33","8","2022","BNSF","Ethanol","23.1"
"2022-08-17T00:00:00.000","33","8","2022","CN","Crude Oil","23.9"
"2022-08-17T00:00:00.000","33","8","2022","CP","Manifest","24.4"
"2022-08-17T00:00:00.000","33","8","2022","BNSF","Crude Oil","25.8"
"2022-08-17T00:00:00.000","33","8","2022","BNSF","Intermodal","31.5"
"2022-08-17T00:00:00.000","33","8","2022","KCS","Coal","27"
"2022-08-17T00:00:00.000","33","8","2022","NS","Manifest","15.8"
"2022-08-17T00:00:00.000","33","8","2022","CP","Coal","24"
"2022-08-17T00:00:00.000","33","8","2022","BNSF","System","25.7"
"2022-08-17T00:00:00.000","33","8","2022","UP","Intermodal","29.1"
"2022-08-17T00:00:00.000","33","8","2022","CSX","Ethanol","23.6"
"2022-08-17T00:00:00.000","33","8","2022","KCS","System","27"
"2022-08-17T00:00:00.000","33","8","2022","CN","Grain","22.7"
"2022-08-17T00:00:00.000","33","8","2022","KCS","Crude Oil","29.5"
"2022-08-17T00:00:00.000","33","8","2022","KCS","Manifest","25.9"
"2022-08-17T00:00:00.000","33","8","2022","UP","Grain","22.6"
"2022-08-17T00:00:00.000","33","8","2022","UP","Coal","24.5"
"2022-08-17T00:00:00.000","33","8","2022","CN","Other","21.9"
"2022-08-17T00:00:00.000","33","8","2022","CN","Intermodal","28"
"2022-08-17T00:00:00.000","33","8","2022","CP","Grain","29.6"
"2022-08-10T00:00:00.000","32","8","2022","NS","System","18.9"
"2022-08-10T00:00:00.000","32","8","2022","CN","Coal","23.1"
"2022-08-10T00:00:00.000","32","8","2022","NS","Coal","18.4"
"2022-08-10T00:00:00.000","32","8","2022","CN","Grain","21.1"
"2022-08-10T00:00:00.000","32","8","2022","NS","Crude Oil","19.8"
"2022-08-10T00:00:00.000","32","8","2022","BNSF","Automotive","25.1"
"2022-08-10T00:00:00.000","32","8","2022","CN","System","21.6"
"2022-08-10T00:00:00.000","32","8","2022","CN","Other","19.6"
"2022-08-10T00:00:00.000","32","8","2022","NS","Intermodal","24.6"
"2022-08-10T00:00:00.000","32","8","2022","CN","Ethanol","22.8"
"2022-08-10T00:00:00.000","32","8","2022","CP","Manifest","24.4"
"2022-08-10T00:00:00.000","32","8","2022","KCS","Ethanol",
"2022-08-10T00:00:00.000","32","8","2022","NS","Manifest","15.4"
"2022-08-10T00:00:00.000","32","8","2022","KCS","Crude Oil","29.5"
"2022-08-10T00:00:00.000","32","8","2022","UP","Manifest","21.4"
"2022-08-10T00:00:00.000","32","8","2022","CSX","Automotive",
"2022-08-10T00:00:00.000","32","8","2022","CP","Intermodal","31.5"
"2022-08-10T00:00:00.000","32","8","2022","CSX","Ethanol","23.3"
"2022-08-10T00:00:00.000","32","8","2022","KCS","Coal","27"
"2022-08-10T00:00:00.000","32","8","2022","CSX","Intermodal","29.4"
"2022-08-10T00:00:00.000","32","8","2022","CP","System","26.3"
"2022-08-10T00:00:00.000","32","8","2022","CSX","Manifest","20.1"
"2022-08-10T00:00:00.000","32","8","2022","CSX","Crude Oil",
"2022-08-10T00:00:00.000","32","8","2022","BNSF","Coal","24.4"
"2022-08-10T00:00:00.000","32","8","2022","CN","Crude Oil","19.1"
"2022-08-10T00:00:00.000","32","8","2022","CSX","Coal","20"
"2022-08-10T00:00:00.000","32","8","2022","CP","Ethanol","27.8"
"2022-08-10T00:00:00.000","32","8","2022","UP","Automotive","26"
