"date","week","month","year","country","commodity","type","outstanding_sales_total"
"2022-08-11T00:00:00.000","32","8","2022","NICARAGUA","Wheat","HRW","0"
"2022-08-11T00:00:00.000","32","8","2022","TAIWAN","Wheat","HRS","88690"
"2022-08-11T00:00:00.000","32","8","2022","QATAR","Corn",,"7"
"2022-08-11T00:00:00.000","32","8","2022","PHILIPPINES","Wheat","White","348750"
"2022-08-11T00:00:00.000","32","8","2022","NICARAGUA","Wheat","SRW","0"
"2022-08-11T00:00:00.000","32","8","2022","MALAYSIA","Corn",,"1411"
"2022-08-11T00:00:00.000","32","8","2022","PHILIPPINES","Wheat","HRS","398750"
"2022-08-11T00:00:00.000","32","8","2022","PERU","Wheat","SRW","40500"
"2022-08-11T00:00:00.000","32","8","2022","PHILIPPINES","Soybeans",,"4195"
"2022-08-11T00:00:00.000","32","8","2022","PORTUGAL","Soybeans",,"0"
"2022-08-11T00:00:00.000","32","8","2022","SOUTH AFRICA, REPUBLIC OF","Wheat","SRW","0"
"2022-08-11T00:00:00.000","32","8","2022","PANAMA","Soybeans",,"18300"
"2022-08-11T00:00:00.000","32","8","2022","PERU","Soybeans",,"0"
"2022-08-11T00:00:00.000","32","8","2022","PORTUGAL","Wheat","HRS","0"
"2022-08-11T00:00:00.000","32","8","2022","ITALY","Corn",,"105000"
"2022-08-11T00:00:00.000","32","8","2022","TRINIDAD AND TOBAGO","Wheat","SRW","0"
"2022-08-11T00:00:00.000","32","8","2022","TAIWAN","Wheat","White","14725"
"2022-08-11T00:00:00.000","32","8","2022","NETHERLANDS","Soybeans",,"66000"
"2022-08-11T00:00:00.000","32","8","2022","MEXICO","Wheat","HRW","377964"
"2022-08-11T00:00:00.000","32","8","2022","THAILAND","Wheat","HRW","9190"
"2022-08-11T00:00:00.000","32","8","2022","KOREA, REPUBLIC OF","Wheat","White","124852"
"2022-08-11T00:00:00.000","32","8","2022","LEEWARD-WINDWARD ISLANDS","Corn",,"1500"
"2022-08-11T00:00:00.000","32","8","2022","NIGERIA","Soybeans",,"0"
"2022-08-11T00:00:00.000","32","8","2022","JAMAICA","Corn",,"30400"
"2022-08-11T00:00:00.000","32","8","2022","NIGERIA","Wheat","HRS","0"
"2022-08-11T00:00:00.000","32","8","2022","MEXICO","Wheat","HRS","175596"
"2022-08-11T00:00:00.000","32","8","2022","THAILAND","Wheat","HRS","60603"
"2022-08-11T00:00:00.000","32","8","2022","NIGERIA","Wheat","White","0"
"2022-08-11T00:00:00.000","32","8","2022","NORWAY","Soybeans",,"31000"
"2022-08-11T00:00:00.000","32","8","2022","MOROCCO","Wheat","SRW","0"
"2022-08-11T00:00:00.000","32","8","2022","JAPAN","Corn",,"1070893"
"2022-08-11T00:00:00.000","32","8","2022","PHILIPPINES","Corn",,"2656"
"2022-08-11T00:00:00.000","32","8","2022","KOREA, REPUBLIC OF","Corn",,"4882"
"2022-08-11T00:00:00.000","32","8","2022","JAPAN","Soybeans",,"485490"
"2022-08-11T00:00:00.000","32","8","2022","MEXICO","Corn",,"3835508"
"2022-08-11T00:00:00.000","32","8","2022","OTHER PACIFIC ISLANDS, NEC","Corn",,"0"
"2022-08-11T00:00:00.000","32","8","2022","LEEWARD-WINDWARD ISLANDS","Wheat","HRS","5000"
"2022-08-11T00:00:00.000","32","8","2022","ISRAEL","Corn",,"0"
"2022-08-11T00:00:00.000","32","8","2022","MALAYSIA","Wheat","SRW","3000"
"2022-08-11T00:00:00.000","32","8","2022","LEEWARD-WINDWARD ISLANDS","Wheat","SRW","300"
"2022-08-11T00:00:00.000","32","8","2022","ROMANIA","Corn",,"0"
"2022-08-11T00:00:00.000","32","8","2022","KOREA, REPUBLIC OF","Wheat","SRW","200"
"2022-08-11T00:00:00.000","32","8","2022","SAUDI ARABIA","Soybeans",,"40000"
"2022-08-11T00:00:00.000","32","8","2022","PANAMA","Wheat","SRW","17500"
"2022-08-11T00:00:00.000","32","8","2022","MOROCCO","Corn",,"0"
"2022-08-11T00:00:00.000","32","8","2022","NEPAL","Soybeans",,"0"
"2022-08-11T00:00:00.000","32","8","2022","LEBANON","Soybeans",,"10000"
"2022-08-11T00:00:00.000","32","8","2022","PANAMA","Corn",,"53649"
"2022-08-11T00:00:00.000","32","8","2022","NETHERLANDS","Corn",,"0"
"2022-08-11T00:00:00.000","32","8","2022","KOREA, REPUBLIC OF","Soybeans",,"36212"
"2022-08-11T00:00:00.000","32","8","2022","PAKISTAN","Soybeans",,"363000"
"2022-08-11T00:00:00.000","32","8","2022","MALAYSIA","Soybeans",,"46857"
"2022-08-11T00:00:00.000","32","8","2022","ITALY","Soybeans",,"0"
"2022-08-11T00:00:00.000","32","8","2022","MEXICO","Wheat","SRW","235424"
"2022-08-11T00:00:00.000","32","8","2022","NIGERIA","Wheat","HRW","161000"
"2022-08-11T00:00:00.000","32","8","2022","MALAYSIA","Wheat","White","0"
"2022-08-11T00:00:00.000","32","8","2022","MALAYSIA","Wheat","HRS","3600"
"2022-08-11T00:00:00.000","32","8","2022","TRINIDAD AND TOBAGO","Wheat","HRS","12000"
"2022-08-11T00:00:00.000","32","8","2022","PANAMA","Wheat","White","5900"
"2022-08-11T00:00:00.000","32","8","2022","NICARAGUA","Corn",,"7500"
"2022-08-11T00:00:00.000","32","8","2022","PANAMA","Wheat","HRS","45500"
"2022-08-11T00:00:00.000","32","8","2022","MEXICO","Soybeans",,"1463334"
"2022-08-11T00:00:00.000","32","8","2022","SINGAPORE","Wheat","White","0"
"2022-08-11T00:00:00.000","32","8","2022","SAUDI ARABIA","Corn",,"30000"
