"record_type","vin","registration_class","city","state","zip","county","model_year","make","body_type","fuel_type","unladen_weight","maximum_gross_weight","passengers","reg_valid_date","reg_expiration_date","color","scofflaw_indicator","suspension_indicator","revocation_indicator"
"BOAT","999999999999","BOT","LOWVILLE","NY","13367","LEWIS","1974","ST/CR","BOAT","GAS",,,,"2022-06-28T00:00:00.000","2025-07-31T00:00:00.000",,"N","N","N"
"BOAT","999955","BOT","STAATSBURG","NY","12580","DUTCHESS","1955","STARC","BOAT","GAS",,,,"2020-05-15T00:00:00.000","2023-04-30T00:00:00.000",,"N","N","N"
"VEH","9999236","HIS","ROSLYN","NY","11576","NASSAU","1937","CHRY","4DSD","GAS","6300",,,"2022-05-25T00:00:00.000","2023-06-23T00:00:00.000","BK","N","N","N"
"TRL","9999","LTR","BETHEL PARK","PA","15102","OUT-OF-STATE","1980","CRCF","LTRL","NONE",,"3000",,"2021-12-01T00:00:00.000","2022-12-31T00:00:00.000","BR","N","N","N"
"BOAT","999747","BOT","CORTLAND","NY","13045","CORTLAND","1971","STARC","BOAT","GAS",,,,"2020-05-18T00:00:00.000","2023-04-30T00:00:00.000",,"N","N","N"
"BOAT","999733","BOT","CANEADEA","NY","14717","ALLEGANY","1971","STARC","BOAT","GAS",,,,"2020-06-10T00:00:00.000","2023-05-31T00:00:00.000",,"N","N","N"
"BOAT","999703","BOT","LOCKPORT","NY","14094","NIAGARA","1971","STARC","BOAT","NONE",,,,"2020-05-20T00:00:00.000","2023-04-30T00:00:00.000",,"N","N","N"
"BOAT","9997R","BOT","LITTLE YORK","NY","13087","CORTLAND","1968","HERTE","BOAT","GAS",,,,"2022-05-31T00:00:00.000","2025-08-31T00:00:00.000",,"N","N","N"
"BOAT","999647","BOT","RUXTON","MD","21204","OUT-OF-STATE","1969","ST/CR","BOAT","GAS",,,,"2022-02-09T00:00:00.000","2025-03-31T00:00:00.000",,"N","N","N"
"BOAT","999626","BOT","TULLY","NY","13159","ONONDAGA","1970","ST/CR","BOAT","GAS",,,,"2021-06-21T00:00:00.000","2024-05-31T00:00:00.000",,"N","N","N"
"TRL","99960","LTR","CHEEKTOWAGA","NY","14225","ERIE","1959","TEENE","LTRL","NONE",,"1500",,"2022-04-20T00:00:00.000","2022-12-31T00:00:00.000","WH","N","N","N"
"VEH","9996","MOT","GLEN COVE","NY","11542","NASSAU","1951","NIMBU","MCY","GAS","408",,,"2022-06-21T00:00:00.000","2023-04-30T00:00:00.000","DK RD","N","N","N"
"BOAT","999595","BOT","NAPLES","NY","14512","YATES","1973","ST/CR","BOAT","GAS",,,,"2022-04-12T00:00:00.000","2025-04-30T00:00:00.000",,"N","N","N"
"BOAT","999536","BOT","PENNELLVILLE","NY","13132","OSWEGO","1971","STARC","BOAT","GAS",,,,"2020-06-26T00:00:00.000","2023-06-30T00:00:00.000",,"N","N","N"
"BOAT","999506","BOT","BEAVER FALLS","NY","13305","LEWIS","1970","ST/CR","BOAT","GAS",,,,"2020-05-08T00:00:00.000","2023-04-30T00:00:00.000",,"N","N","N"
"TRL","9995","TRL","MALONE","NY","12953","FRANKLIN","1980","HOMEM","UTIL","NONE",,"5500",,"2021-12-10T00:00:00.000","2022-12-31T00:00:00.000","BK","N","N","N"
"TRL","999453171788094","LTR","FULTON","NY","13069","OSWEGO","2017","HOME","LTRL","NONE",,"1000",,"2022-07-29T00:00:00.000","2022-12-31T00:00:00.000","GY","N","N","N"
"VEH","999407G3573","PAS","SARATOGA SPRIN","NY","12866","SARATOGA","1976","LA/RO","SUBN","GAS","3500",,,"2021-03-03T00:00:00.000","2023-05-12T00:00:00.000","WH","N","N","N"
"BOAT","999310","BOT","ALBANY","NY","12205","ALBANY","1971","STARC","BOAT","GAS",,,,"2020-06-22T00:00:00.000","2023-07-31T00:00:00.000",,"N","N","N"
"TRL","999307132382096","LTR","NAPLES","NY","14512","ONTARIO","2009","HOMEM","LTRL","NONE",,"1445",,"2021-11-24T00:00:00.000","2022-12-31T00:00:00.000","GY","N","N","N"
"BOAT","9993","BOT","CANANDAIGUA","NY","14424","ONTARIO","1967","OD/DA","BOAT","GAS",,,,"2021-09-08T00:00:00.000","2024-08-31T00:00:00.000",,"N","N","N"
"TRL","999240132358096","LTR","NAPLES","NY","14512","ONTARIO","2007","CA/ON","LTRL","NONE",,"2990",,"2021-11-24T00:00:00.000","2022-12-31T00:00:00.000","BK","N","N","N"
"VEH","9992313","PAS","CAMDEN","NY","13316","ONEIDA","1924","FORD","CONV","GAS","1527",,,"2021-06-02T00:00:00.000","2023-07-06T00:00:00.000","BK","N","N","N"
"BOAT","9992","BOT","ONEONTA","NY","13820","OTSEGO","1968","ODAY","BOAT","GAS",,,,"2021-04-23T00:00:00.000","2024-06-30T00:00:00.000",,"N","N","N"
"TRL","99906012080960628","TRL","SCHENECTADY","NY","12303","SCHENECTADY","1996","CUSTO","TRLR","NONE",,"12000",,"2021-11-15T00:00:00.000","2022-12-31T00:00:00.000","RD","N","N","N"
"TRL","99906012050960560","TRL","LEVITTOWN","NY","11756","NASSAU","1996","CUSTO","TRLR","NONE",,"9990",,"2021-12-27T00:00:00.000","2022-12-31T00:00:00.000","BK","N","N","N"
"TRL","99906012012981238","TRL","SO GLENS FALLS","NY","12803","SARATOGA","1999","CUSTO","TRLR","NONE",,"2980",,"2021-11-06T00:00:00.000","2022-12-31T00:00:00.000","BL","N","N","N"
"TRL","99906012011960712","TRL","HADLEY","NY","12835","SARATOGA","1996","CUSTO","TRLR","NONE",,"3880",,"2022-04-18T00:00:00.000","2022-12-31T00:00:00.000","BK","N","N","N"
"TRL","99906012003001558","TRL","CLAYTON","NY","13624","JEFFERSON","2000","DRAGG","TRLR","NONE",,"9990",,"2021-11-22T00:00:00.000","2022-12-31T00:00:00.000","BK","N","N","N"
"TRL","99906010011960713","TRL","HUDSON FALLS","NY","12839","WASHINGTON","1996","CUSTO","TRLR","NONE",,"3000",,"2021-10-14T00:00:00.000","2022-12-31T00:00:00.000","RD","N","N","N"
"TRL","99906010011960711","TRL","MINERVA","NY","12851","WARREN","1996","CUSTO","TRLR","NONE",,"9900",,"2021-12-29T00:00:00.000","2022-12-31T00:00:00.000","GR","N","N","N"
"VEH","99906","SPC","BROOKLYN","NY","11232","KINGS","2005","MANIT","P/SH","PROPANE","7800",,,"2021-10-15T00:00:00.000","2022-12-31T00:00:00.000","YW","N","N","N"
"TRL","99905012030990688","TRL","WEST SENECA","NY","14224","ERIE","1999","TR/CR","TRLR","NONE",,"9990",,"2021-11-03T00:00:00.000","2022-12-31T00:00:00.000","YW","N","N","N"
"BOAT","999033","BOT","EAST ROCKAWAY","NY","11518","NASSAU","1973","STARC","BOAT","GAS",,,,"2019-06-26T00:00:00.000","2022-09-30T00:00:00.000",,"N","N","N"
"TRL","99901807030030338","TRL","APPLETON","NY","14008","NIAGARA","2003","TR/CR","TRLR","NONE",,"9990",,"2022-04-21T00:00:00.000","2022-12-31T00:00:00.000","BK","N","N","N"
"TRL","99901606030980374","TRL","SPENCERPORT","NY","14559","MONROE","1998","TR/CR","TRLR","NONE",,"9990",,"2021-10-05T00:00:00.000","2022-12-31T00:00:00.000","GR","N","N","N"
"TRL","99901206120012430","TRL","AVERILL PARK","NY","12018","RENSSELAER","2001","TRIPL","TRLR","NONE",,"2500",,"2021-11-22T00:00:00.000","2022-12-31T00:00:00.000","BK","N","N","N"
"TRL","99901206080021691","TRL","SILVER SPRINGS","NY","14550","WYOMING","2002","TR/CR","TRLR","NONE",,"10000",,"2021-12-29T00:00:00.000","2022-12-31T00:00:00.000","BK","N","N","N"
"TRL","99901206050020803","TRL","HUNTINGTN STA","NY","11746","SUFFOLK","2002","TRIPL","TRLR","NONE",,"9850",,"2022-06-15T00:00:00.000","2022-12-31T00:00:00.000","BK","N","N","N"
"TRL","99901206020069824","TRL","SYRACUSE","NY","13206","ONONDAGA","2006","TR/CR","TRLR","NONE",,"9990",,"2021-11-17T00:00:00.000","2022-12-31T00:00:00.000","BK","N","N","N"
"TRL","99901206020049620","TRL","POTSDAM","NY","13676","ST LAWRENCE","2004","TR/CR","DUMP","NONE",,"4000",,"2022-05-10T00:00:00.000","2022-12-31T00:00:00.000","BK","N","N","N"
