"year","month","of_permits_issued"
,"2014","23754"
,"2009","13007"
,"2012","19463"
,"2016","28871"
,"2010","15894"
,"2008","15627"
,"2011","17376"
,"2013","22607"
,"2015","25509"
,"2017","31169"
,"ytd2018","32023"
