"date","fiscal_year","of_transactions","total_purchases_debits","average_transaction_amount","rebate","average_monthly_amount_spend"
"2008-09-30T00:00:00.000","FY08","28081","5316211.29","189.01","20260","443017.61"
"2009-09-30T00:00:00.000","FY09","26692","4785508.00","180.00","89485","398792.34"
"2010-09-30T00:00:00.000","FY10","26845","4799797.68","178.36","127870","399983.14"
"2011-09-30T00:00:00.000","FY11","26227","5069793.00","193.00","115075","422482.75"
"2012-09-30T00:00:00.000","FY12","32570","7022815.71","214.00","191816","585234.64"
"2013-09-30T00:00:00.000","FY13","30520","6690461.30","218.52","189229","557538.44"
"2014-09-30T00:00:00.000","FY14","30918","6818096.75","219.63","189246","568174.73"
"2015-09-30T00:00:00.000","FY15","32144","7392141.58","229.12","192379","616011.80"
"2016-09-30T00:00:00.000","FY16","33391","8087600.40","241.61","211705","673966.70"
"2017-09-30T00:00:00.000","FY17","33391","9090025.18","271.49","235947","757502.10"
"2018-09-30T00:00:00.000","FY18","33003","9715688.27","296.43","217530","809640.69"
"2019-09-30T00:00:00.000","FY19","35856","10902617.50","298.14","326369","908551.46"
"2020-09-30T00:00:00.000","FY20","32263","11021672.18","344.11","270842","918472.68"
"2021-01-31T00:00:00.000","FY21 YTD","9251","3128929.74","338.30","0","782232.43"
