"fiscal_year","inventory_balance"
"FY08","1861846.53"
"FY09","1740530.34"
"FY10","1529306"
"FY11","1467643"
"FY12","1484194"
"FY13","1515710"
"FY14","1481278.5"
"FY15","1494733.6"
"FY16","1599028.2"
"FY17","1581346"
"FY18","1524552"
"FY19","1747977"
"FY20","1822911"
"FY21 YTD","2032380"
