"fiscal_year","cost_of_goods"
"FY08","4468189.87"
"FY09","3859320.94"
"FY10","3558686.66"
"FY11","3451062"
"FY12","3876114"
"FY13","4096500"
"FY14","4237882.26"
"FY15","4097745.39"
"FY16","4489875.77"
"FY17","4658276"
"FY18","5417980"
"FY19","4953207"
"FY20","4123217.82"
"FY21 YTD","1331024"
