"fiscal_year","engineering_architect","construction","other_goods_services","totals"
"FY11","182333.03","5155967.53","5612071.17","10950371.73"
"FY12","639341.36","4203687.21","4066240.04","8939268.61"
"FY13","359826.85","7307043.78","4109265.79","11776136.42"
"FY14","869770.95","5907641.70","4362103.52","11139516.17"
"FY15","956109.98","9185850.47","4566565.91","14708758.36"
"FY16","1460702.24","3026021.03","5476101.17","9962824.44"
"FY17","2806893.16","3941695.87","3617970.38","10366559.41"
"FY18","2944125.95","3340694.73","4433821.47","10718642.15"
"FY19","1016615.50","3551555.68","4122005.71","8690176.89"
"FY20","866591.27","3970085.62","10292006.87","15128683.76"
"FY21 YTD","804237.43","737838.80","1406368.69","2948444.92"
