"id","event_number","event_case_number","type_of_engagement","sub_engagement","classification","display_address","crime_date","crime_time","latitude","longitude","location","submit_an_anonymous_tip","neighborhood_name","council_district","event_subtype_type_of_event"
"A4732169","E2021164038",,"TRESPASSING","COMPLAINT","Disorderly Conduct","3XX VILLA GRANDE AV S","2021-09-01T00:00:07.000","00:00:00","27.767162704713353","-82.73486685392447","
,  
(27.767162704713353, -82.73486685392447)","https://app.citizenobserver.com/tips/new?alert_group_id=2995",,"1","COMPLAINT - TRESPASSING"
"A4732170","E2021164039",,"BURGLARY VEHICLE","PROACTIVE","Directed Patrol","DELAWARE AV NE/CARSON ST NE","2021-09-01T00:06:11.000","00:06:00","27.81157387944545","-82.60808899505466","
,  
(27.81157387944545, -82.60808899505466)","https://app.citizenobserver.com/tips/new?alert_group_id=2995","SHORE ACRES CIVIC ASSN","3","PROACTIVE - BURGLARY VEHICLE"
"A4732171","E2021164040",,"NOISE NUISANCE","COMPLAINT","Disorderly Conduct","1XX 73RD AV N","2021-09-01T00:06:14.000","00:06:00","27.838997742709655","-82.63541879832779","
,  
(27.838997742709655, -82.63541879832779)","https://app.citizenobserver.com/tips/new?alert_group_id=2995",,"2","COMPLAINT - NOISE NUISANCE"
"A4732172","E2021164041",,"DOMESTIC QUARREL","COMPLAINT","All Other - Non-Criminal","2XXX KINGSTON ST S","2021-09-01T00:06:48.000","00:06:00","27.745618760017543","-82.68370166117853","
,  
(27.745618760017543, -82.68370166117853)","https://app.citizenobserver.com/tips/new?alert_group_id=2995",,"7","COMPLAINT - DOMESTIC QUARREL"
"A4732173","E2021164042",,"GO BY AN ADDRESS","COMPLAINT","All Other - Non-Criminal","9XX 51ST ST N","2021-09-01T00:09:33.000","00:09:00","27.781329153603135","-82.70241869636246","
,  
(27.781329153603135, -82.70241869636246)","https://app.citizenobserver.com/tips/new?alert_group_id=2995","DISSTON HEIGHTS CIVIC ASSN","8","COMPLAINT - GO BY AN ADDRESS"
"A4732174","E2021164043",,"PERSON DOWN","COMPLAINT","All Other - Non-Criminal","36TH AV N/38TH ST N","2021-09-01T00:12:52.000","00:12:00","27.8046500511816","-82.68568871230184","
,  
(27.8046500511816, -82.68568871230184)","https://app.citizenobserver.com/tips/new?alert_group_id=2995","DISSTON HEIGHTS CIVIC ASSN","8","COMPLAINT - PERSON DOWN"
"A4732175","E2021164044",,"AUTO THEFT","PROACTIVE","Directed Patrol","13TH AV S/40TH ST S","2021-09-01T00:15:52.000","00:15:00","27.757386078885855","-82.68751642608055","
,  
(27.757386078885855, -82.68751642608055)","https://app.citizenobserver.com/tips/new?alert_group_id=2995","CHILDS PARK NBRHD ASSN","7","PROACTIVE - AUTO THEFT"
"A4732176","E2021164045",,"BURGLARY VEHICLE","PROACTIVE","Directed Patrol","4XXX 11TH AV N","2021-09-01T00:16:57.000","00:16:00","27.782686427798275","-82.70109139864178","
,  
(27.782686427798275, -82.70109139864178)","https://app.citizenobserver.com/tips/new?alert_group_id=2995","DISSTON HEIGHTS CIVIC ASSN","8","PROACTIVE - BURGLARY VEHICLE"
"A4732177","E2021164046",,"BURGLARY VEHICLE","PROACTIVE","Directed Patrol","4XXX 11TH AV N","2021-09-01T00:16:59.000","00:16:00","27.782686647578593","-82.70104810308354","
,  
(27.782686647578593, -82.70104810308354)","https://app.citizenobserver.com/tips/new?alert_group_id=2995","DISSTON HEIGHTS CIVIC ASSN","8","PROACTIVE - BURGLARY VEHICLE"
"A4732178","E2021164047",,"CHECKING BUILDING","COMPLAINT","All Other - Non-Criminal","1XXX 4TH ST N","2021-09-01T00:18:18.000","00:18:00","27.78823391420297","-82.63821925412823","
,  
(27.78823391420297, -82.63821925412823)","https://app.citizenobserver.com/tips/new?alert_group_id=2995","HISTORIC OLD NORTHEAST NBRHD ASSN","4","COMPLAINT - CHECKING BUILDING"
