"fiscal_year","of_line_items_received"
"FY08","4992"
"FY09","4354"
"FY10","4398"
"FY11","4578"
"FY12","4388"
"FY13","4458"
"FY14","4637"
"FY15","5114"
"FY16","6141"
"FY17","5811"
"FY18","5482"
"FY19","5148"
"FY20","4410"
"FY21 YTD","1217"
