"month","pursuits","citizen_initiated_bureau","ops_investigations","commendations"
"2014-01-01T00:00:00.000","3","0","4","20"
"2014-02-01T00:00:00.000","1","3","1","13"
"2014-03-01T00:00:00.000","0","4","2","33"
"2014-04-01T00:00:00.000","1","2","2","25"
"2014-05-01T00:00:00.000","0","0","4","21"
"2014-06-01T00:00:00.000","1","3","1","13"
"2014-07-01T00:00:00.000","1","1","1","25"
"2014-08-01T00:00:00.000","2","1","2","11"
"2014-09-01T00:00:00.000","0","1","0","41"
"2014-10-01T00:00:00.000","1","0","1","35"
"2014-11-01T00:00:00.000","2","0","1","14"
"2014-12-01T00:00:00.000","1","1","1","23"
"2015-01-01T00:00:00.000","1","0","2","21"
"2015-02-01T00:00:00.000","1","1","0","19"
"2015-03-01T00:00:00.000","1","1","3","50"
"2015-04-01T00:00:00.000","2","0","3","25"
"2015-05-01T00:00:00.000","1","4","2","37"
"2015-06-01T00:00:00.000","1","2","0","35"
"2015-07-01T00:00:00.000","1","1","1","55"
"2015-08-01T00:00:00.000","0","0","3","45"
"2015-09-01T00:00:00.000","0","0","0","65"
"2015-10-01T00:00:00.000","1","0","0","32"
"2015-11-01T00:00:00.000","1","0","1","35"
"2015-12-01T00:00:00.000","5","0","0","22"
"2016-01-01T00:00:00.000","0","0","1","22"
"2016-02-01T00:00:00.000","0","0","1","33"
"2016-03-01T00:00:00.000","1","0","1","22"
"2016-04-01T00:00:00.000","1","0","0","30"
"2016-05-01T00:00:00.000","0","0","2","30"
"2016-06-01T00:00:00.000","0","5","4","23"
"2016-07-01T00:00:00.000","1","1","1","33"
"2016-08-01T00:00:00.000","0","0","1","31"
"2016-09-01T00:00:00.000","0","0","1","22"
"2016-10-01T00:00:00.000","0","1","1","32"
"2016-11-01T00:00:00.000","0","1","0","34"
"2016-12-01T00:00:00.000","0","1","1","25"
"2017-01-01T00:00:00.000","0","0","2","43"
"2017-02-01T00:00:00.000","0","2","2","32"
"2017-03-01T00:00:00.000","0","0","2","26"
"2017-04-01T00:00:00.000","0","0","3","21"
"2017-05-01T00:00:00.000","0","0","2","29"
"2017-06-01T00:00:00.000","0","0","5","30"
"2017-07-01T00:00:00.000","0","1","2","56"
"2017-08-01T00:00:00.000","0","1","3","38"
"2017-09-01T00:00:00.000","0","0","3","20"
"2017-10-01T00:00:00.000","1","0","2","30"
"2017-11-01T00:00:00.000","0","2","0","22"
"2017-12-01T00:00:00.000","0","0","1","15"
"2018-01-01T00:00:00.000","0","1","2","22"
"2018-02-01T00:00:00.000","1","1","0","32"
"2018-03-01T00:00:00.000","0","0","0","37"
"2018-04-01T00:00:00.000","0","0","0","43"
"2018-05-01T00:00:00.000","0","0","0","29"
"2018-06-01T00:00:00.000","0","0","0","20"
"2018-07-01T00:00:00.000","0","0","3","51"
"2018-08-01T00:00:00.000","0","0","2","31"
"2018-09-01T00:00:00.000","0","0","0","19"
"2018-10-01T00:00:00.000","2","0","1","43"
"2018-11-01T00:00:00.000","0","0","2","20"
"2018-12-01T00:00:00.000","1","0","2","17"
"2019-01-01T00:00:00.000","0","0","2","29"
"2019-02-01T00:00:00.000","0","0","0","25"
"2019-03-01T00:00:00.000","0","0","2","21"
"2019-04-01T00:00:00.000","1","1","2","36"
"2019-05-01T00:00:00.000","0","0","4","23"
"2019-06-01T00:00:00.000","0","0","0","48"
"2019-07-01T00:00:00.000","1","0","0","60"
"2019-08-01T00:00:00.000","1","0","2","21"
"2019-09-01T00:00:00.000","0","0","2","30"
"2019-10-01T00:00:00.000","0","0","2","37"
"2019-11-01T00:00:00.000","0","0","1","28"
"2019-12-01T00:00:00.000","0","0","2","29"
"2020-01-01T00:00:00.000","0","0","0","45"
"2020-02-01T00:00:00.000","0","0","2","38"
"2020-03-01T00:00:00.000","0","0","0","31"
"2020-04-01T00:00:00.000","1","0","1","16"
"2020-05-01T00:00:00.000","0","0","0","19"
"2020-06-01T00:00:00.000","0","0","2","47"
"2020-07-01T00:00:00.000","0","0","1","50"
"2020-08-01T00:00:00.000","2","0","4","35"
"2020-09-01T00:00:00.000","0","2","0","31"
"2020-10-01T00:00:00.000","0","0","3","48"
"2020-11-01T00:00:00.000","0","8","0","14"
"2020-12-01T00:00:00.000","1","0","2","22"
"2021-01-01T00:00:00.000","1","0","0","30"
"2021-02-01T00:00:00.000","0","1","0","36"
"2021-03-01T00:00:00.000","0","0","1","63"
"2021-04-01T00:00:00.000","2","0","2","51"
"2021-05-01T00:00:00.000","0","0","1","27"
"2021-06-01T00:00:00.000","0","0","3","22"
"2021-07-01T00:00:00.000","0","0","2","47"
"2021-08-01T00:00:00.000","0","0","0","27"
"2021-09-01T00:00:00.000","0","0","1","19"
"2021-10-01T00:00:00.000",,,,
"2021-11-01T00:00:00.000",,,,
"2021-12-01T00:00:00.000",,,,
