"month","special_pickup_requests","special_pickup_tons","neighboorhood_sweeps","yard_waste_recycled_tons"
"2017-10-01T00:00:00.000","3572","332.24","420.51","5021.00"
"2017-11-01T00:00:00.000","3416","212.95","281.02","4912.00"
"2017-12-01T00:00:00.000","3523","260.03","313.50","4003.00"
"2018-01-01T00:00:00.000","3933","260.18","357.43","8118.90"
"2018-02-01T00:00:00.000","3509","261.32","272.14","5813.10"
"2018-03-01T00:00:00.000","4617","324.22","209.34","6159.90"
"2018-04-01T00:00:00.000","4106","280.57","373.56","6256.40"
"2018-05-01T00:00:00.000","4231","351.38","414.90","5371.10"
"2018-06-01T00:00:00.000","4434","335.81","361.09","6500.30"
"2018-07-01T00:00:00.000","4618","308.06","508.34","1952.00"
"2018-08-01T00:00:00.000","4422","350.9","448.22","6875.00"
"2018-09-01T00:00:00.000","3885","297.82","391.75","2879.00"
"2018-10-01T00:00:00.000","4223","289.17","408.16","5125.00"
"2018-11-01T00:00:00.000","3767","235.75","317.51","2803.30"
"2018-12-01T00:00:00.000","3968","228.12","362.67","4911.90"
"2019-01-01T00:00:00.000","4539","338.94","353.47","7577.42"
"2019-02-01T00:00:00.000","4019","251.43","326.65","5352.00"
"2019-03-01T00:00:00.000","4468","295.31","386.58","3627.00"
"2019-04-01T00:00:00.000","4918","279.46","390.60","3250.00"
"2019-05-01T00:00:00.000","4516","346.83","381.20","10846.70"
"2019-06-01T00:00:00.000","4104","308.23","369.20","7130.24"
"2019-07-01T00:00:00.000","4299","322.58","398.53","4378.00"
"2019-08-01T00:00:00.000","4660","225.38","333.12","6086.24"
"2019-09-01T00:00:00.000","3706","246.4","292.41","6213.50"
"2019-10-01T00:00:00.000","4107","364.8","447.20","8454.95"
"2019-11-01T00:00:00.000","3550","238.4","296.30","5033.00"
"2019-12-01T00:00:00.000","4015","257.9","275.10","4489.00"
"2020-01-01T00:00:00.000","3706","282.06","327.50","4962.25"
"2020-02-01T00:00:00.000","4051","242.74","328.50","5377.00"
"2020-03-01T00:00:00.000","4457","329.11","267.00","6121.26"
"2020-04-01T00:00:00.000","4706","353.98","397.19","6303.00"
"2020-05-01T00:00:00.000","4422","336.07","408.70","6077.18"
"2020-06-01T00:00:00.000","4823","349.7","404.84","5848.44"
"2020-07-01T00:00:00.000","3451","351.5","392.60","5934.00"
"2020-08-01T00:00:00.000","4246","295.03","514.00","5905.21"
"2020-09-01T00:00:00.000","4348","308.13","359.86","7184.40"
"2020-10-01T00:00:00.000","3114","287.92","450.44","1802.60"
"2020-11-01T00:00:00.000","2530","231.81","289.27","4406.40"
"2020-12-01T00:00:00.000","3263","244.56","352.48","7680.58"
"2021-01-01T00:00:00.000","2624","247.95","349.68","6684.91"
"2021-02-01T00:00:00.000","2644","344.15","346.61","5775.00"
"2021-03-01T00:00:00.000","3227","321.98","388.64","8434.79"
"2021-04-01T00:00:00.000","4240","334.31","464.53","4623.82"
"2021-05-01T00:00:00.000","2651","232.63","352.08","2599.70"
"2021-06-01T00:00:00.000","3247","324.88","502.82","4386.32"
"2021-07-01T00:00:00.000","3790","331.28","352.37","5229.00"
"2021-08-01T00:00:00.000","4303","269.11","356.58","7885.99"
"2021-09-01T00:00:00.000","3943","316.98","455.37","3439.15"
"2021-10-01T00:00:00.000","3711","285.93","354.81","3325.19"
"2021-11-01T00:00:00.000","3311","271.72","392.23","4419.00"
"2021-12-01T00:00:00.000","3779","246.51","367.68","4387.00"
"2022-01-01T00:00:00.000","3735","234.74","346.77","5173.30"
"2022-02-01T00:00:00.000","3007","248.23","301.06","3960.00"
"2022-03-01T00:00:00.000","4536","319.82","357.79",
"2022-04-01T00:00:00.000","4112","314.05","485.37",
"2022-05-01T00:00:00.000","3596","266.32","401.34",
"2022-06-01T00:00:00.000","4053","198.72","364.64",
"2022-07-01T00:00:00.000","3825","267.18","362.73",
"2022-08-01T00:00:00.000","4691","305.71","388.47",
