"fy","date","permit_revenue","month"
"2019","2018-10-01T00:00:00.000","770549.09","October"
"2019","2018-11-01T00:00:00.000","601320.54","November"
"2019","2018-12-01T00:00:00.000","524428.20","December"
"2019","2019-01-01T00:00:00.000","872444.97","January"
"2019","2019-02-01T00:00:00.000","601697.30","February"
"2019","2019-03-01T00:00:00.000","789040.63","March"
"2019","2019-04-01T00:00:00.000","760150.97","April"
"2019","2019-05-01T00:00:00.000","712993.75","May"
"2019","2019-06-01T00:00:00.000","687593.57","June"
"2019","2019-07-01T00:00:00.000","701618.97","July"
"2019","2019-08-01T00:00:00.000","740798.20","August"
"2019","2019-09-01T00:00:00.000","752320.07","September"
"2020","2019-10-01T00:00:00.000","983131.82","October"
"2020","2019-11-01T00:00:00.000","573114.41","November"
"2020","2019-12-01T00:00:00.000","547932.04","December"
"2020","2020-01-01T00:00:00.000","636961.76","January"
"2020","2020-02-01T00:00:00.000","632729.01","February"
"2020","2020-03-01T00:00:00.000","557018.74","March"
"2020","2020-04-01T00:00:00.000","316684.21","April"
"2020","2020-05-01T00:00:00.000","464137.58","May"
"2020","2020-06-01T00:00:00.000","1007909.82","June"
"2020","2020-07-01T00:00:00.000","676161.21","July"
"2020","2020-08-01T00:00:00.000","519419.08","August"
"2020","2020-09-01T00:00:00.000","439447.53","September"
"2021","2020-10-01T00:00:00.000","583381.31","October"
"2021","2020-11-01T00:00:00.000","500078.31","November"
"2021","2020-12-01T00:00:00.000","502043.03","December"
"2021","2021-01-01T00:00:00.000","520935.21","January"
"2021","2021-02-01T00:00:00.000","886982.52","February"
"2021","2021-03-01T00:00:00.000","633275.31","March"
"2021","2021-04-01T00:00:00.000","1865467.68","April"
"2021","2021-05-01T00:00:00.000","883960.62","May"
"2021","2021-06-01T00:00:00.000","579676.85","June"
"2021","2021-07-01T00:00:00.000","511074.02","July"
"2021","2021-08-01T00:00:00.000","541335.14","August"
"2021","2021-09-01T00:00:00.000","767133.73","September"
"2022","2021-10-01T00:00:00.000","692232.34","October"
"2022","2021-11-01T00:00:00.000","511637.49","November"
"2022","2021-12-01T00:00:00.000","821309.98","December"
"2022","2022-01-01T00:00:00.000","619737.05","January"
"2022","2022-02-01T00:00:00.000","796852.93","February"
"2022","2022-03-01T00:00:00.000","1018028.68","March"
"2022","2022-04-01T00:00:00.000","879015.81","April"
"2022","2022-05-01T00:00:00.000","829478.65","May"
"2022","2022-06-01T00:00:00.000","812833","June"
"2022","2022-07-01T00:00:00.000","700388.69","July"
"2022","2022-08-01T00:00:00.000","798771.80","August"
